#[1]timestep [2]distance [3]DH-energy 
0 0 inf
10 0.03 1.76242
20 0.06 0.858167
30 0.09 0.55715
40 0.12 0.406935
50 0.15 0.317035
60 0.18 0.257287
70 0.21 0.214765
80 0.24 0.183005
90 0.27 0.158417
100 0.3 0.138847
110 0.33 0.122924
120 0.36 0.109733
130 0.39 0.0986433
140 0.42 0.089202
150 0.45 0.0810781
160 0.48 0.0740229
170 0.51 0.0678468
180 0.54 0.0624018
190 0.57 0.0575716
200 0.6 0.0532627
210 0.63 0.0493999
220 0.66 0.0459213
230 0.69 0.0427761
240 0.72 0.0399217
250 0.75 0.0373226
260 0.78 0.0349487
270 0.81 0.0327742
280 0.84 0.0307772
290 0.87 0.0289388
300 0.9 0.0272427
310 0.93 0.0256744
320 0.96 0.0242217
330 0.99 0.0228735
340 1.02 0.0216202
350 1.05 0.0204532
360 1.08 0.0193651
370 1.11 0.018349
380 1.14 0.0173989
390 1.17 0.0165094
400 1.2 0.0156757
410 1.23 0.0148935
420 1.26 0.0141587
430 1.29 0.0134677
440 1.32 0.0128175
450 1.35 0.0122049
460 1.38 0.0116274
470 1.41 0.0110824
480 1.44 0.0105677
490 1.47 0.0100813
500 1.5 0.00962134
510 1.53 0.00918602
520 1.56 0.00877376
530 1.59 0.00838311
540 1.62 0.0080127
550 1.65 0.00766129
560 1.68 0.00732771
570 1.71 0.00701089
580 1.74 0.00670983
590 1.77 0.00642361
600 1.8 0.00615137
610 1.83 0.0058923
620 1.86 0.00564566
630 1.89 0.00541075
640 1.92 0.00518693
650 1.95 0.00497357
660 1.98 0.00477012
670 2.01 0.00457605
680 2.04 0.00439085
690 2.07 0.00421405
700 2.1 0.00404522
710 2.13 0.00388395
720 2.16 0.00372985
730 2.19 0.00358256
740 2.22 0.00344172
750 2.25 0.00330703
760 2.28 0.00317817
770 2.31 0.00305487
780 2.34 0.00293684
790 2.37 0.00282383
800 2.4 0.00271561
810 2.43 0.00261195
820 2.46 0.00251263
830 2.49 0.00241744
840 2.52 0.00232619
850 2.55 0.00223871
860 2.58 0.00215482
870 2.61 0.00207435
880 2.64 0.00199714
890 2.67 0.00192306
900 2.7 0.00185197
910 2.73 0.00178372
920 2.76 0.00171819
930 2.79 0.00165527
940 2.82 0.00159483
950 2.85 0.00153678
960 2.88 0.001481
970 2.91 0.0014274
980 2.94 0.00137589
990 2.97 0.00132637
1000 3 0.00127877
